mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,27,1.0,2317110000
2,7.010,27,1.0,1885950000
3,10.515,27,1.0,1624650000
4,14.020,27,1.0,1455870000
5,17.525,27,1.0,1337240000
6,21.030,27,1.0,1249470000
7,24.535,27,1.0,1182030000
8,28.040,27,1.0,1126980000
9,31.545,27,1.0,1082040000
10,35.050,27,1.0,1042830000
11,38.555,27,1.0,1009200000
12,42.060,27,1.0,980587000
13,45.565,27,1.0,953602000
14,49.070,27,1.0,931544000
15,52.575,27,1.0,909897000
16,56.080,27,1.0,891149000
17,59.585,27,1.0,873020000
18,63.090,27,1.0,857206000
19,66.595,27,1.0,842057000
20,70.100,27,1.0,827732000
