mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,0,1.1,3177090000
2,7.010,0,1.1,2597070000
3,10.515,0,1.1,2255500000
4,14.020,0,1.1,2038130000
5,17.525,0,1.1,1889810000
6,21.030,0,1.1,1780580000
7,24.535,0,1.1,1696860000
8,28.040,0,1.1,1628490000
9,31.545,0,1.1,1572020000
10,35.050,0,1.1,1523210000
11,38.555,0,1.1,1482020000
12,42.060,0,1.1,1444300000
13,45.565,0,1.1,1412280000
14,49.070,0,1.1,1383360000
15,52.575,0,1.1,1356170000
16,56.080,0,1.1,1331620000
17,59.585,0,1.1,1308070000
18,63.090,0,1.1,1288640000
19,66.595,0,1.1,1268830000
20,70.100,0,1.1,1250440000
