mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,0,1.0,2551140000
2,7.010,0,1.0,2068910000
3,10.515,0,1.0,1777360000
4,14.020,0,1.0,1587780000
5,17.525,0,1.0,1455040000
6,21.030,0,1.0,1357830000
7,24.535,0,1.0,1279920000
8,28.040,0,1.0,1218520000
9,31.545,0,1.0,1166710000
10,35.050,0,1.0,1123960000
11,38.555,0,1.0,1085690000
12,42.060,0,1.0,1052410000
13,45.565,0,1.0,1022530000
14,49.070,0,1.0,995707000
15,52.575,0,1.0,971630000
16,56.080,0,1.0,949279000
17,59.585,0,1.0,929732000
18,63.090,0,1.0,911714000
19,66.595,0,1.0,893485000
20,70.100,0,1.0,878161000
