mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,55,1.0,2103900000
2,7.010,55,1.0,1718000000
3,10.515,55,1.0,1485000000
4,14.020,55,1.0,1333000000
5,17.525,55,1.0,1227400000
6,21.030,55,1.0,1149800000
7,24.535,55,1.0,1089400000
8,28.040,55,1.0,1040800000
9,31.545,55,1.0,1000300000
10,35.050,55,1.0,966550000
11,38.555,55,1.0,936920000
12,42.060,55,1.0,911060000
13,45.565,55,1.0,888290000
14,49.070,55,1.0,867980000
15,52.575,55,1.0,848900000
16,56.080,55,1.0,831900000
17,59.585,55,1.0,816440000
18,63.090,55,1.0,802300000
19,66.595,55,1.0,789430000
20,70.100,55,1.0,777080000
