mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,55,1.1,2624600000
2,7.010,55,1.1,2158830000
3,10.515,55,1.1,1882920000
4,14.020,55,1.1,1707640000
5,17.525,55,1.1,1587320000
6,21.030,55,1.1,1500130000
7,24.535,55,1.1,1432620000
8,28.040,55,1.1,1377950000
9,31.545,55,1.1,1333480000
10,35.050,55,1.1,1294640000
11,38.555,55,1.1,1262090000
12,42.060,55,1.1,1233390000
13,45.565,55,1.1,1206590000
14,49.070,55,1.1,1183340000
15,52.575,55,1.1,1163080000
16,56.080,55,1.1,1144430000
17,59.585,55,1.1,1126220000
18,63.090,55,1.1,1110360000
19,66.595,55,1.1,1094900000
20,70.100,55,1.1,1080910000
