mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,80,1.1,2413370000
2,7.010,80,1.1,1989730000
3,10.515,80,1.1,1738130000
4,14.020,80,1.1,1578560000
5,17.525,80,1.1,1469200000
6,21.030,80,1.1,1389270000
7,24.535,80,1.1,1328340000
8,28.040,80,1.1,1278660000
9,31.545,80,1.1,1237530000
10,35.050,80,1.1,1203510000
11,38.555,80,1.1,1173010000
12,42.060,80,1.1,1146980000
13,45.565,80,1.1,1123590000
14,49.070,80,1.1,1103250000
15,52.575,80,1.1,1084350000
16,56.080,80,1.1,1066120000
17,59.585,80,1.1,1050290000
18,63.090,80,1.1,1036350000
19,66.595,80,1.1,1022910000
20,70.100,80,1.1,1009890000
