mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,80,1.0,1935000000
2,7.010,80,1.0,1585200000
3,10.515,80,1.0,1372700000
4,14.020,80,1.0,1235500000
5,17.525,80,1.0,1139100000
6,21.030,80,1.0,1068800000
7,24.535,80,1.0,1014100000
8,28.040,80,1.0,969850000
9,31.545,80,1.0,934070000
10,35.050,80,1.0,903220000
11,38.555,80,1.0,876660000
12,42.060,80,1.0,852920000
13,45.565,80,1.0,832400000
14,49.070,80,1.0,814450000
15,52.575,80,1.0,797320000
16,56.080,80,1.0,782520000
17,59.585,80,1.0,768600000
18,63.090,80,1.0,756530000
19,66.595,80,1.0,743240000
20,70.100,80,1.0,732510000
